[ 2025-10-13 15:52:12,337 ] 19 root - INFO - Initiate the data ingestion
[ 2025-10-13 15:52:20,598 ] 62 root - INFO - Performed train test split on the dataframe
[ 2025-10-13 15:52:20,598 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-13 15:52:20,599 ] 72 root - INFO - Exporting train and test file path.
[ 2025-10-13 15:52:20,746 ] 81 root - INFO - Exported train and test file path.
[ 2025-10-13 15:52:20,747 ] 21 root - INFO - Data Initiation Completed
[ 2025-10-13 15:52:20,791 ] 26 root - INFO - Initiate the data Validation
[ 2025-10-13 15:52:20,951 ] 34 root - INFO - Required number of columns:2
[ 2025-10-13 15:52:20,952 ] 35 root - INFO - Data frame has columns:31
[ 2025-10-13 15:52:20,952 ] 34 root - INFO - Required number of columns:2
[ 2025-10-13 15:52:20,953 ] 35 root - INFO - Data frame has columns:31
[ 2025-10-13 15:52:21,290 ] 28 root - INFO - data Validation Completed
[ 2025-10-13 15:52:21,291 ] 33 root - INFO - Initiate the Data Transformation
[ 2025-10-13 15:52:21,291 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-10-13 15:52:21,291 ] 65 root - INFO - Starting data transformation
