[ 2025-10-13 16:02:05,474 ] 19 root - INFO - Initiate the data ingestion
[ 2025-10-13 16:02:10,901 ] 62 root - INFO - Performed train test split on the dataframe
[ 2025-10-13 16:02:10,901 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-13 16:02:10,901 ] 72 root - INFO - Exporting train and test file path.
[ 2025-10-13 16:02:10,984 ] 81 root - INFO - Exported train and test file path.
[ 2025-10-13 16:02:10,999 ] 21 root - INFO - Data Initiation Completed
[ 2025-10-13 16:02:11,018 ] 26 root - INFO - Initiate the data Validation
[ 2025-10-13 16:02:11,101 ] 34 root - INFO - Required number of columns:2
[ 2025-10-13 16:02:11,101 ] 35 root - INFO - Data frame has columns:31
[ 2025-10-13 16:02:11,101 ] 34 root - INFO - Required number of columns:2
[ 2025-10-13 16:02:11,101 ] 35 root - INFO - Data frame has columns:31
[ 2025-10-13 16:02:11,366 ] 28 root - INFO - data Validation Completed
[ 2025-10-13 16:02:11,366 ] 33 root - INFO - Initiate the Data Transformation
[ 2025-10-13 16:02:11,366 ] 65 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-10-13 16:02:11,366 ] 67 root - INFO - Starting data transformation
[ 2025-10-13 16:02:11,419 ] 49 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-10-13 16:02:11,419 ] 55 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-10-13 16:02:11,453 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-13 16:02:11,473 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-13 16:02:11,474 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-13 16:02:11,478 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-13 16:02:11,480 ] 35 root - INFO - Data Transformation Completed
