[ 2025-10-16 21:37:20,469 ] 23 root - INFO - Initiate the data ingestion
[ 2025-10-16 21:37:33,140 ] 62 root - INFO - Performed train test split on the dataframe
[ 2025-10-16 21:37:33,140 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-16 21:37:33,141 ] 72 root - INFO - Exporting train and test file path.
[ 2025-10-16 21:37:33,348 ] 81 root - INFO - Exported train and test file path.
[ 2025-10-16 21:37:33,350 ] 25 root - INFO - Data Initiation Completed
[ 2025-10-16 21:37:33,397 ] 30 root - INFO - Initiate the data Validation
[ 2025-10-16 21:37:33,572 ] 34 root - INFO - Required number of columns:2
[ 2025-10-16 21:37:33,572 ] 35 root - INFO - Data frame has columns:31
[ 2025-10-16 21:37:33,573 ] 34 root - INFO - Required number of columns:2
[ 2025-10-16 21:37:33,573 ] 35 root - INFO - Data frame has columns:31
[ 2025-10-16 21:37:34,158 ] 32 root - INFO - data Validation Completed
[ 2025-10-16 21:37:34,160 ] 37 root - INFO - Initiate the Data Transformation
[ 2025-10-16 21:37:34,160 ] 65 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-10-16 21:37:34,161 ] 67 root - INFO - Starting data transformation
[ 2025-10-16 21:37:34,287 ] 49 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-10-16 21:37:34,288 ] 55 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-10-16 21:37:34,319 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-16 21:37:34,325 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-16 21:37:34,325 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-16 21:37:34,330 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-16 21:37:34,332 ] 39 root - INFO - Data Transformation Completed
[ 2025-10-16 21:37:34,337 ] 42 root - INFO - Model Training started
[ 2025-10-16 21:49:24,046 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-16 21:49:24,049 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-16 21:49:24,049 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-16 21:49:24,132 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-16 21:49:24,132 ] 152 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\10_16_2025_21_37_10\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9906051116274371, precision_score=0.9859239895435351, recall_score=0.9953308972797401), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9777237748076144, precision_score=0.9749596122778675, recall_score=0.9805036555645816))
