[ 2025-10-16 21:08:02,004 ] 23 root - INFO - Initiate the data ingestion
[ 2025-10-16 21:08:11,040 ] 62 root - INFO - Performed train test split on the dataframe
[ 2025-10-16 21:08:11,041 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-16 21:08:11,043 ] 72 root - INFO - Exporting train and test file path.
[ 2025-10-16 21:08:11,301 ] 81 root - INFO - Exported train and test file path.
[ 2025-10-16 21:08:11,302 ] 25 root - INFO - Data Initiation Completed
[ 2025-10-16 21:08:11,383 ] 30 root - INFO - Initiate the data Validation
[ 2025-10-16 21:08:11,583 ] 34 root - INFO - Required number of columns:2
[ 2025-10-16 21:08:11,584 ] 35 root - INFO - Data frame has columns:31
[ 2025-10-16 21:08:11,584 ] 34 root - INFO - Required number of columns:2
[ 2025-10-16 21:08:11,585 ] 35 root - INFO - Data frame has columns:31
[ 2025-10-16 21:08:12,102 ] 32 root - INFO - data Validation Completed
[ 2025-10-16 21:08:12,103 ] 37 root - INFO - Initiate the Data Transformation
[ 2025-10-16 21:08:12,104 ] 65 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-10-16 21:08:12,104 ] 67 root - INFO - Starting data transformation
[ 2025-10-16 21:08:12,198 ] 49 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-10-16 21:08:12,198 ] 55 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-10-16 21:08:12,238 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-16 21:08:12,248 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-16 21:08:12,248 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-16 21:08:12,255 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-16 21:08:12,258 ] 39 root - INFO - Data Transformation Completed
[ 2025-10-16 21:08:12,258 ] 42 root - INFO - Model Training started
[ 2025-10-16 21:20:03,662 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-16 21:20:03,663 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-16 21:20:03,663 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-16 21:20:03,719 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-16 21:20:03,719 ] 151 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\10_16_2025_21_07_30\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9910895099230458, precision_score=0.9882875605815832, recall_score=0.9939073923639318), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9773828756058158, precision_score=0.9734513274336283, recall_score=0.981346309813463))
