[ 2025-10-15 13:39:43,616 ] 23 root - INFO - Initiate the data ingestion
[ 2025-10-15 13:39:48,175 ] 62 root - INFO - Performed train test split on the dataframe
[ 2025-10-15 13:39:48,175 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-15 13:39:48,176 ] 72 root - INFO - Exporting train and test file path.
[ 2025-10-15 13:39:48,372 ] 81 root - INFO - Exported train and test file path.
[ 2025-10-15 13:39:48,374 ] 25 root - INFO - Data Initiation Completed
[ 2025-10-15 13:39:48,443 ] 30 root - INFO - Initiate the data Validation
[ 2025-10-15 13:39:48,591 ] 34 root - INFO - Required number of columns:2
[ 2025-10-15 13:39:48,591 ] 35 root - INFO - Data frame has columns:31
[ 2025-10-15 13:39:48,592 ] 34 root - INFO - Required number of columns:2
[ 2025-10-15 13:39:48,592 ] 35 root - INFO - Data frame has columns:31
[ 2025-10-15 13:39:49,100 ] 32 root - INFO - data Validation Completed
[ 2025-10-15 13:39:49,102 ] 37 root - INFO - Initiate the Data Transformation
[ 2025-10-15 13:39:49,102 ] 65 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-10-15 13:39:49,102 ] 67 root - INFO - Starting data transformation
[ 2025-10-15 13:39:49,178 ] 49 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-10-15 13:39:49,178 ] 55 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-10-15 13:39:49,213 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-15 13:39:49,221 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-15 13:39:49,222 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-15 13:39:49,229 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-15 13:39:49,232 ] 39 root - INFO - Data Transformation Completed
[ 2025-10-15 13:39:49,232 ] 42 root - INFO - Model Training started
